relative_path,quotation_number,qn_confidence,boq_status
20250502\Offer#20250502_ADANI CEMENT _CAAQMS_Budgetary Offer.txt,20250502,HIGH,FOUND
2324G032R4\TECH-2324G032R4- ADAGE OFFER_AMNS HAZIRA- PUNE UNIT- HCL SYSTEM .txt,2324G032R4,HIGH,FOUND
2324W079R4\9020_2801040686.txt,,LOW,FOUND
2402WS026R1\PRICED OFFER-2402WS026R2-HCL-6299852-U23.txt,2402WS026R2,HIGH,FOUND
2425G015\2425G015R1 Adani Mahan FGD CEMS Systems.txt,2425G015R1,HIGH,FOUND
2425W034R2\UNPRICED OFFER-2425W034R2-OFFER FOR GAS ANALYZER SYSTEM-SANGHI CEMENT WORKS.txt,2425W034R2,HIGH,FOUND
2425W069R6\Techno OFFER-2425W069R6- ADAGE OFFER_AMNS Khopoli.txt,2425W069R6,HIGH,FOUND
2425W083\2425W083R3 TECHNICAL OFFER FOR SO2 GAS ANALYSER SYSTEM FOR SHREE CEMENT.txt,2425W083R3,HIGH,FOUND
2425W083\2425W083R4 OFFER FOR SO2 GAS ANALYSER SYSTEM FOR SHREE CEMENT.txt,2425W083R4,HIGH,FOUND
2425W086-1\8864_753010450.txt,,LOW,FOUND
2425W086-2\8862_753010446.txt,,LOW,FOUND
2425W086-3\8863_753010452.txt,,LOW,FOUND
2425W088\TECHNO OFFER-2425W088R1-  Birla Satna-CEMS SYSTEM .txt,2425W088R1,HIGH,FOUND
2425W090\Offer # 2425W090R1 OFFER FOR CO  O2 GAS ANALYSER SYSTEM.txt,2425W090R1,HIGH,FOUND
2425W43\2425W043R4 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR ADITYA BIRLA CARBON INDIA.txt,2425W043R4,HIGH,FOUND
2502WS026R1\2502WS026R1_JSW DOLVI-TECHNO_COMMERCIAL QUOTATION .txt,2502WS026R1,HIGH,FOUND
2504G015\Q2504G015R1 OFFER FOR GAS ANALYSER SYSTEM FOR GNFC.txt,SQ2504G015R1,HIGH,FOUND
2504G015\SQ2411W076R2 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR GNFC.txt,SQ2411W076R2,HIGH,FOUND
2504G016\2425W022R3 TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM WITH SPM.txt,2425G022R3,HIGH,FOUND
2504W026\PRICE-2526W029  - ADAGE OFFER_UTCL BASANTH NAGAR CEMENT WORKS.txt,2526W029,HIGH,FOUND
2504W027\Q2407H22R1  - ADAGE OFFER_UTCL BALAJI CEMENT.txt,Q2407H22R1,HIGH,FOUND
2504W028\2504W028 COMMERCIAL OFFER FOR CEMS GAS ANALYSER SYSTEM FOR BATLIBOI ENVIRONMETAL.txt,2504W028,HIGH,FOUND
2504WS082R1\2504WS082R1 OFFER FOR GAS ANALYSER MODULE FOR KJS CEMENT.txt,2504WS082R1,HIGH,FOUND
2504WS082R1\2504WS082R4 OFFER FOR GAS ANALYSER MODULE FOR KJS CEMENT .txt,2504WS082R4,HIGH,FOUND
2505G021\2425G014 GNFC Bharuch H2 System (2).txt,2425G014,HIGH,FOUND
2505G025\2526G021 PDIL Vadodara Process & CEMS Analysers for GSFC Project.txt,2526W0431,HIGH,FOUND
2505G026\2526G020R1 Samaghogha CEMS.txt,2526G020R1,HIGH,FOUND
2505G027\2425G015R1 Adani Mahan FGD CEMS Systems.txt,2425G015R1,HIGH,FOUND
2505G028\2425G015R1 Adani Mahan FGD CEMS Systems.txt,2425G015R1,HIGH,FOUND
